,FID,Long,Lat,ID,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_20_100mm,bio_21,bio_22,bio_23,bio_24,bio_25,bio_26,bio_27,bio_28,bio_29
133,133,-73.465892,6.860714,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
134,134,-73.465766,6.860311,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
135,135,-73.465476,6.859155,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
136,136,-73.465788,6.859153,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
137,137,-73.465937,6.859479,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
138,138,-73.466093,6.860138,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
139,139,-73.466184,6.860683,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
140,140,-73.465953,6.860953,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
141,141,-73.464417,6.859433,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
142,142,-73.464812,6.858173,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
143,143,-73.46515,6.857958,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
144,144,-73.464919,6.858492,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
145,145,-73.465214,6.858758,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
146,146,-73.465303,6.860024,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
147,147,-73.464861,6.860058,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
148,148,-73.46466,6.859958,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
149,149,-73.464422,6.860168,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
150,150,-73.464508,6.862224,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
151,151,-73.46417,6.863055,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
152,152,-73.464088,6.863049,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
153,153,-73.464239,6.862277,3,246,86,90,283,294,199,95,242,246,249,241,1896,259,96,35,640,299,311,575,2,57095,7,5269,4288,981,4636,4636,5010,4339
